L2,,,,,
taxonomy,Test stat.,pval,pval_fdr,pval_bon,
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herminiimonas; s__,-0.8830955197,3.05975777476E-05,0.0321284561,0.4743848454,944197
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__; g__; s__,-0.8827020257,3.13243091003E-05,0.0321284561,0.4856520883,218152
k__Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]; o__S-BQ2-57; f__; g__; s__,-0.8826633501,3.13964912579E-05,0.0321284561,0.4867712005,4080005
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,-0.881070747,3.44889254984E-05,0.0321284561,0.5347163009,921722
k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__Ellin515; g__; s__,-0.8807397342,3.51618116449E-05,0.0321284561,0.5451487277,223808
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,-0.8807071758,3.5228570315E-05,0.0321284561,0.5461837542,112066
k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,-0.8791607178,3.85205738212E-05,0.0331790543,0.5972229765,551517
k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__Ellin6537; f__; g__; s__,-0.8766463478,4.44046133835E-05,0.0362341645,0.6884491259,722416
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,-0.8721554531,5.67226045812E-05,0.0438538567,0.8794272614,89144
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__,-0.8712860822,5.93995737148E-05,0.0438538567,0.9209309909,4386592
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__; g__; s__,-0.8701365406,6.30954337271E-05,0.0444650729,0.9782316045,213580
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__; g__; s__,-0.8677586082,7.13321622322E-05,0.0463817029,1,225982
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__N1423WL; f__; g__; s__,-0.8676308067,7.179830178E-05,0.0463817029,1,4314520
